Setups,High-LastIndex,Delays,TeamName
71,2904,41,Samar
63,0,153,Samar
15,2704,128,Samar
4,2789,142,Samar
67,397,131,Samar
74,0,34,Samar
4,2732,209,Samar
8,2261,410,Samar
19,2680,154,Samar
20,2651,158,Samar
14,2704,212,Samar
4,2753,192,Samar
4,2340,271,Samar
16,2713,78,Samar
15,2713,90,Samar
71,3255,37,Samar
72,3255,17,Samar
6,2276,583,Samar
72,2897,41,Samar
13,2712,226,Samar
74,3255,0,Samar
8,2262,248,Samar
11,0,253,Samar
68,0,116,Samar
8,2710,230,Samar
4,3255,107,Samar
14,2255,248,Samar
8,2694,247,Samar
14,2712,191,Samar
17,0,205,Samar
9,0,280,Samar
4,2722,236,Samar
16,2281,205,Samar
70,8,54,Samar
15,2695,243,Samar
68,3255,73,Samar
70,0,72,Samar
73,2841,43,Samar
68,397,105,Samar
71,0,64,Samar
65,0,147,Samar
9,2722,201,Samar
69,0,80,Samar
75,872,29,Samar
7,2261,419,Samar
69,3255,56,Samar
8,2228,569,Samar
72,0,46,Samar
18,2255,198,Samar
7,2725,192,Samar
67,0,133,Samar
7,2310,330,Samar
7,2340,248,Samar
5,2710,237,Samar
9,2715,205,Samar
10,2725,146,Samar
77,0,29,Samar
5,2777,156,Samar
8,2259,414,Samar
7,2722,207,Samar
62,0,171,Samar
